time,dipole
1.594999999999962803e+01,3.116258026223490241e+00
1.597499999999962661e+01,3.140650141063838774e+00
1.599999999999962519e+01,3.165121404059974886e+00
1.602499999999962554e+01,3.189673442662802838e+00
1.604999999999962412e+01,3.214308708878241383e+00
1.607499999999962270e+01,3.239030665284194921e+00
1.609999999999962128e+01,3.263843796871916947e+00
1.612499999999961986e+01,3.288752824346779846e+00
1.614999999999961844e+01,3.313762328427735326e+00
1.617499999999961702e+01,3.338876686908227143e+00
1.619999999999961560e+01,3.364097938632749418e+00
1.622499999999961418e+01,3.389426817616551624e+00
1.624999999999961275e+01,3.414863142671834773e+00
1.627499999999961133e+01,3.440406678161885612e+00
1.629999999999960991e+01,3.466058080587437029e+00
1.632499999999960849e+01,3.491820131547022754e+00
1.634999999999960707e+01,3.517697886045928257e+00
1.637499999999960565e+01,3.543697185610106715e+00
1.639999999999960423e+01,3.569823099127627408e+00
1.642499999999960281e+01,3.596078681555198386e+00
1.644999999999960139e+01,3.622465348402516661e+00
1.647499999999959996e+01,3.648983860992163208e+00
1.649999999999959854e+01,3.675633016815467169e+00
1.652499999999959712e+01,3.702411497579438659e+00
1.654999999999959570e+01,3.729317293545268086e+00
1.657499999999959428e+01,3.756347509343950897e+00
1.659999999999959286e+01,3.783499696532222956e+00
1.662499999999959144e+01,3.810770862837557171e+00
1.664999999999959002e+01,3.838156635683392270e+00
1.667499999999958860e+01,3.865652586932136092e+00
1.669999999999958717e+01,3.893255147979762132e+00
1.672499999999958575e+01,3.920962929255613183e+00
1.674999999999958433e+01,3.948775725390055058e+00
1.677499999999958291e+01,3.976693442345315965e+00
1.679999999999958149e+01,4.004714731689457352e+00
1.682499999999958007e+01,4.032836390431342011e+00
1.684999999999957865e+01,4.061055417933900458e+00
1.687499999999957723e+01,4.089370267982134877e+00
1.689999999999957581e+01,4.117781219758819056e+00
1.692499999999957438e+01,4.146291154412300450e+00
1.694999999999957296e+01,4.174904326303055413e+00
1.697499999999957154e+01,4.203623725842258629e+00
1.699999999999957012e+01,4.232449544299945465e+00
1.702499999999956870e+01,4.261378519125657682e+00
1.704999999999956728e+01,4.290404313202304643e+00
1.707499999999956586e+01,4.319519751654789630e+00
1.709999999999956444e+01,4.348719471711797624e+00
1.712499999999956302e+01,4.378000781164720578e+00
1.714999999999956160e+01,4.407363062865461423e+00
1.717499999999956017e+01,4.436805941807572928e+00
1.719999999999955875e+01,4.466328986032428006e+00
1.722499999999955733e+01,4.495930274975460605e+00
1.724999999999955591e+01,4.525607025627461866e+00
1.727499999999955449e+01,4.555356454480936179e+00
1.729999999999955307e+01,4.585176494807505776e+00
1.732499999999955165e+01,4.615066650671429294e+00
1.734999999999955023e+01,4.645027779805491974e+00
1.737499999999954881e+01,4.675060775477382968e+00
1.739999999999954738e+01,4.705166501699615367e+00
1.742499999999954596e+01,4.735344705495774242e+00
1.744999999999954454e+01,4.765593209948175257e+00
1.747499999999954312e+01,4.795909541652388697e+00
1.749999999999954170e+01,4.826292105976122571e+00
1.752499999999954028e+01,4.856742555261453376e+00
1.754999999999953886e+01,4.887265743305402310e+00
1.757499999999953744e+01,4.917869905487755489e+00
1.759999999999953602e+01,4.948563495624220820e+00
1.762499999999953459e+01,4.979353269937895732e+00
1.764999999999953317e+01,5.010244664661975378e+00
1.767499999999953175e+01,5.041241423892941498e+00
1.769999999999953033e+01,5.072346125260946081e+00
1.772499999999952891e+01,5.103560414016095947e+00
1.774999999999952749e+01,5.134885164991166207e+00
1.777499999999952607e+01,5.166319585535390502e+00
